wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,1000.0,0.0,132978.0,133218.0,132941.0,132978.0,147350.0,149900.0,133388.0,133388.0,155123.0
2.0,1000.0,0.0,138739.0,127675.0,127392.0,138739.0,142028.0,147765.0,139192.0,139192.0,154669.0
2.0,1000.0,0.0,144191.0,122299.0,122188.0,144191.0,136046.0,145384.0,144706.0,144706.0,153270.0
3.0,1000.0,0.0,160171.0,160749.0,160124.0,160171.0,173919.0,177784.0,161654.0,161654.0,186547.0
3.0,1000.0,0.0,155004.0,155955.0,155009.0,155004.0,170154.0,173653.0,160015.0,160015.0,186208.0
3.0,1000.0,0.0,149898.0,151038.0,149885.0,149898.0,166087.0,169047.0,158779.0,158779.0,185198.0
4.0,1000.0,0.0,179844.0,181533.0,179568.0,179844.0,194204.0,194024.0,181633.0,181633.0,206376.0
4.0,1000.0,0.0,182474.0,176864.0,175235.0,182474.0,190952.0,190785.0,176626.0,176626.0,206195.0
4.0,1000.0,0.0,172878.0,171602.0,170153.0,172878.0,187238.0,186793.0,171896.0,171896.0,205304.0
2.0,1200.0,200.0,118081.0,118148.0,118075.0,118081.0,127174.0,129398.0,118057.0,118255.0,144601.0
2.0,1200.0,200.0,113803.0,113762.0,113780.0,113803.0,121612.0,127090.0,122661.0,113944.0,143763.0
2.0,1200.0,200.0,126553.0,109757.0,109724.0,126553.0,115666.0,120897.0,126922.0,109943.0,140847.0
3.0,1200.0,200.0,143443.0,146271.0,143798.0,143443.0,153528.0,152784.0,146201.0,146071.0,174015.0
3.0,1200.0,200.0,140281.0,141440.0,140262.0,140281.0,151288.0,150765.0,146656.0,140630.0,173780.0
3.0,1200.0,200.0,136212.0,136312.0,136049.0,136212.0,148032.0,148413.0,147187.0,135392.0,172854.0
4.0,1200.0,200.0,162850.0,164738.0,164738.0,162850.0,173476.0,172962.0,166276.0,166852.0,193399.0
4.0,1200.0,200.0,160379.0,160182.0,160182.0,160379.0,170733.0,171893.0,161605.0,161778.0,193271.0
4.0,1200.0,200.0,157795.0,155849.0,155849.0,157795.0,166818.0,169550.0,156809.0,156428.0,192498.0
2.0,2000.0,0.0,136861.0,136999.0,136836.0,136861.0,149059.0,148806.0,137055.0,137055.0,155062.0
2.0,2000.0,0.0,141925.0,131753.0,131540.0,141925.0,144888.0,146570.0,131719.0,131719.0,154634.0
2.0,2000.0,0.0,146553.0,126461.0,126290.0,146553.0,139233.0,143999.0,126549.0,126549.0,153301.0
3.0,2000.0,0.0,163016.0,164996.0,163623.0,163016.0,177940.0,177293.0,164803.0,164803.0,186557.0
3.0,2000.0,0.0,158756.0,160733.0,158838.0,158756.0,174258.0,174932.0,160022.0,160022.0,186207.0
3.0,2000.0,0.0,154059.0,155731.0,154046.0,154059.0,169790.0,171330.0,154871.0,154871.0,185226.0
4.0,2000.0,0.0,181353.0,184018.0,182257.0,181353.0,196933.0,196340.0,185490.0,185490.0,206462.0
4.0,2000.0,0.0,180211.0,180276.0,177194.0,180211.0,194120.0,192853.0,184389.0,184389.0,206171.0
4.0,2000.0,0.0,175312.0,175520.0,173197.0,175312.0,190672.0,188737.0,183135.0,183135.0,205394.0
2.0,2400.0,400.0,121101.0,121507.0,121107.0,121101.0,129393.0,129729.0,121286.0,121370.0,144558.0
2.0,2400.0,400.0,116857.0,116945.0,116787.0,116857.0,125059.0,128575.0,116874.0,116988.0,143763.0
2.0,2400.0,400.0,112697.0,112601.0,112509.0,112697.0,119563.0,124961.0,112601.0,112659.0,141053.0
3.0,2400.0,400.0,146923.0,149176.0,147012.0,146923.0,155927.0,154455.0,149368.0,150034.0,174095.0
3.0,2400.0,400.0,144340.0,144709.0,144222.0,144340.0,153321.0,152204.0,145207.0,144964.0,173808.0
3.0,2400.0,400.0,140128.0,140530.0,140024.0,140128.0,150002.0,149314.0,139952.0,139762.0,172867.0
4.0,2400.0,400.0,165868.0,167006.0,167006.0,165868.0,175968.0,174572.0,169688.0,171055.0,193370.0
4.0,2400.0,400.0,162730.0,162950.0,162504.0,162730.0,174163.0,172856.0,170537.0,166173.0,193222.0
4.0,2400.0,400.0,161606.0,158473.0,158473.0,161606.0,170688.0,170743.0,168616.0,161170.0,192583.0
2.0,3000.0,0.0,138086.0,138599.0,138118.0,138086.0,150613.0,148127.0,138612.0,138612.0,154939.0
2.0,3000.0,0.0,133270.0,133425.0,133229.0,133270.0,146920.0,145239.0,133519.0,133519.0,154470.0
2.0,3000.0,0.0,128146.0,128250.0,128146.0,128146.0,142199.0,142084.0,128216.0,128216.0,153147.0
3.0,3000.0,0.0,161045.0,167286.0,162351.0,161045.0,179678.0,175982.0,167032.0,167032.0,186355.0
3.0,3000.0,0.0,162672.0,162329.0,159387.0,162672.0,176468.0,173312.0,162157.0,162157.0,186063.0
3.0,3000.0,0.0,155434.0,157197.0,155335.0,155434.0,172593.0,170716.0,157242.0,157242.0,185088.0
4.0,3000.0,0.0,175816.0,183211.0,177459.0,175816.0,199217.0,195592.0,188305.0,188305.0,206337.0
4.0,3000.0,0.0,173624.0,179178.0,173749.0,173624.0,196894.0,191941.0,184242.0,184242.0,206101.0
4.0,3000.0,0.0,171222.0,176053.0,171850.0,171222.0,193373.0,187977.0,179838.0,179838.0,205261.0
2.0,3600.0,600.0,122628.0,123100.0,122671.0,122628.0,130492.0,129464.0,122966.0,123117.0,144447.0
2.0,3600.0,600.0,118560.0,118566.0,118457.0,118560.0,126735.0,127731.0,118519.0,118572.0,143615.0
2.0,3600.0,600.0,113974.0,113958.0,113938.0,113974.0,121547.0,124771.0,113917.0,113944.0,140975.0
3.0,3600.0,600.0,147449.0,149276.0,146852.0,147449.0,156771.0,155442.0,150988.0,151676.0,173927.0
3.0,3600.0,600.0,144128.0,145415.0,144016.0,144128.0,154216.0,152332.0,146316.0,146845.0,173700.0
3.0,3600.0,600.0,140745.0,141534.0,140123.0,140745.0,150831.0,149323.0,141181.0,141518.0,172753.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
